Date,Open,High,Low,Close,Adjusted Close,Volume,Name
2024-06-07,198.46,201.41,197.53,200.46,199.3,76312911.0,Tesla Inc.
2024-06-06,193.77,198.93,192.61,198.46,198.39,68003027.0,Tesla Inc.
2024-06-05,188.29,194.25,187.72,193.77,191.91,69628490.0,Tesla Inc.
2024-06-04,186.53,188.93,184.68,188.29,188.56,58546310.0,Tesla Inc.
2024-06-03,187.86,187.92,186.18,186.53,185.05,50100734.0,Tesla Inc.
2024-05-31,184.19,188.96,183.71,187.86,186.53,59986298.0,Tesla Inc.
2024-05-30,179.21,184.83,178.63,184.19,185.11,62382318.0,Tesla Inc.
2024-05-29,181.71,182.12,178.74,179.21,180.01,98641341.0,Tesla Inc.
2024-05-28,181.78,183.8,180.83,181.71,183.19,59331795.0,Tesla Inc.
2024-05-27,184.46,185.01,181.24,181.78,183.43,70843837.0,Tesla Inc.
2024-05-24,187.8,188.66,183.3,184.46,185.41,51308507.0,Tesla Inc.
2024-05-23,183.12,187.95,183.04,187.8,188.39,97081137.0,Tesla Inc.
2024-05-22,184.25,185.29,181.9,183.12,183.94,92307399.0,Tesla Inc.
2024-05-21,182.53,184.3,182.42,184.25,186.0,99796359.0,Tesla Inc.
2024-05-20,179.69,182.57,179.24,182.53,182.15,75492849.0,Tesla Inc.
2024-05-17,175.72,180.24,174.58,179.69,180.34,58421928.0,Tesla Inc.
2024-05-16,176.63,176.73,174.33,175.72,175.59,93148703.0,Tesla Inc.
2024-05-15,176.03,176.86,174.33,176.63,175.39,65329502.0,Tesla Inc.
2024-05-14,179.59,180.57,175.29,176.03,177.74,71888358.0,Tesla Inc.
2024-05-13,176.66,180.5,174.64,179.59,179.35,81050824.0,Tesla Inc.
2024-05-10,175.58,176.86,175.54,176.66,176.98,54409352.0,Tesla Inc.
2024-05-09,176.14,176.65,174.89,175.58,174.97,51443717.0,Tesla Inc.
2024-05-08,178.9,178.93,175.17,176.14,176.68,74035962.0,Tesla Inc.
2024-05-07,178.92,179.52,178.15,178.9,177.69,64391234.0,Tesla Inc.
2024-05-06,180.07,180.79,178.29,178.92,177.94,99092554.0,Tesla Inc.
2024-05-03,178.46,181.57,177.94,180.07,180.28,96462256.0,Tesla Inc.
2024-05-02,177.75,179.59,177.07,178.46,177.56,98243574.0,Tesla Inc.
2024-05-01,181.03,181.16,176.98,177.75,178.13,92664041.0,Tesla Inc.
2024-04-30,183.89,184.58,180.63,181.03,181.39,88400142.0,Tesla Inc.
2024-04-29,187.14,188.52,182.71,183.89,182.06,65941617.0,Tesla Inc.
2024-04-26,190.87,191.82,186.91,187.14,187.0,74455289.0,Tesla Inc.
2024-04-25,194.07,194.16,189.69,190.87,189.67,58439469.0,Tesla Inc.
2024-04-24,189.04,194.08,188.85,194.07,195.89,71650278.0,Tesla Inc.
2024-04-23,189.19,189.36,188.82,189.04,190.6,87436581.0,Tesla Inc.
2024-04-22,191.24,192.95,189.04,189.19,188.41,83138881.0,Tesla Inc.
2024-04-19,195.14,195.25,190.25,191.24,192.38,91208934.0,Tesla Inc.
2024-04-18,189.55,197.6,188.95,195.14,193.26,77050901.0,Tesla Inc.
2024-04-17,188.96,190.18,188.71,189.55,189.66,51947763.0,Tesla Inc.
2024-04-16,188.8,190.46,188.18,188.96,188.79,58388512.0,Tesla Inc.
2024-04-15,184.4,188.89,183.62,188.8,187.49,68827165.0,Tesla Inc.
2024-04-12,184.16,185.6,183.81,184.4,182.9,79536204.0,Tesla Inc.
2024-04-11,183.06,184.67,181.49,184.16,183.06,82356072.0,Tesla Inc.
2024-04-10,180.02,183.16,179.38,183.06,181.81,91839392.0,Tesla Inc.
2024-04-09,177.69,180.43,177.15,180.02,180.17,62851424.0,Tesla Inc.
2024-04-08,176.47,178.19,175.91,177.69,177.59,58962049.0,Tesla Inc.
2024-04-05,172.98,177.09,172.93,176.47,176.69,92590048.0,Tesla Inc.
2024-04-04,171.5,173.31,171.34,172.98,173.72,66052465.0,Tesla Inc.
2024-04-03,171.46,172.63,171.26,171.5,172.76,91965471.0,Tesla Inc.
2024-04-02,171.11,171.51,170.48,171.46,170.43,93721639.0,Tesla Inc.
2024-04-01,170.0,171.2,169.68,171.11,171.95,59734816.0,Tesla Inc.
